@babyStation2,title,よみ,type,設置主体,住所,geo:lat,geo:long,URL,TEL,アクセス,授乳,おむつ替え,妊婦休憩,トイレ,子供用トイレ,駐車場,備考,時間帯,,,,,
子育てつどいの広場「もんもの木」,もんものき,赤ちゃん駅,飲食・子育て支援施設,名古屋市千種区仲田二丁目12-21,35.1617016,136.9824866,http://monmonoki.moo.jp/,052-825-7155,地下鉄東山線「池下」駅　徒歩8分,yes,yes,yes,yes,yes,0,開設時間内であれば、とびこみ利用可。ランチは電話予約をお勧めします。,月・金10:00から16:00　水11:00から16:00　木11:30から16：00　　土9:30から13:00,,,,,
真宗大谷派　乗西寺,じょうさいじ,赤ちゃん駅,寺院,名古屋市千種区仲田2-6-13,35.169733,136.9422699,http://jyousaiji.or.jp/,052-751-3479,地下鉄東山線「池下」駅　徒歩8分,yes,yes,?,?,?,10,ご利用の際は、インターホンで呼びかけて下さい,9:00から17:00,,,,,
ブルーボックス星ヶ丘店,ぶるーぼっくすほしがおかてん,赤ちゃん駅,不動産業,名古屋市千種区井上町53,35.1713907,136.9352705,http://www.bluebox.co.jp/,052-789-0635,地下鉄東山線「星ヶ丘」駅　徒歩2分,yes,yes,?,?,?,0,スタッフにお声かけ下さい,木から火　9:30から18:30,,,,,
名古屋トヨペット（株）千種内山店,なごやとよぺっとちくさうちやまてん,赤ちゃん駅,車販売,名古屋市千種区内山3-7-3,35.1707773,136.9429393,http://www.ntp.co.jp/index.html,052-741-1101,地下鉄東山線・桜通線「今池」駅　徒歩5分,yes,yes,yes,yes,ベビーカー,数台,店舗スタッフまでお声かけをして下さい,9：30から19：00「定休日は毎週月曜日（祝日の場合は営業）」,,,,,
エリアベネッセ池下覚王山,えりあべねっせいけしたかくおうざん,赤ちゃん駅,学び,名古屋市千種区覚王山通8-24　グランデ井筒1階,35.166281,136.9481917,http://area-benesse.jp/detail/ikeshitakakuouzan,0120-959-130,地下鉄東山線「池下」2番出口徒歩2分,?,yes,yes,yes,yes,0,スタッフにお声かけください,定休日：火曜日、第二水曜日（祝日営業）,,,,,
